No;Kode_Kab;Kabupaten;Res_fpa_fgwc$cluster
1;1101;SIMEULUE;2
2;1102;ACEH SINGKIL;2
3;1103;ACEH SELATAN;2
4;1104;ACEH TENGGARA;2
5;1105;ACEH TIMUR;2
6;1106;ACEH TENGAH;2
7;1107;ACEH BARAT;2
8;1108;ACEH BESAR;1
9;1109;PIDIE;2
10;1110;BIREUEN;2
11;1111;ACEH UTARA;2
12;1112;ACEH BARAT DAYA;2
13;1113;GAYO LUES;2
14;1114;ACEH TAMIANG;1
15;1115;NAGAN RAYA;2
16;1116;ACEH JAYA;2
17;1117;BENER MERIAH;1
18;1118;PIDIE JAYA;2
19;1171;KOTA BANDA ACEH;4
20;1172;KOTA SABANG;4
21;1173;KOTA LANGSA;1
22;1174;KOTA LHOKSEUMAWE;1
23;1175;KOTA SUBULUSSALAM;2
24;1201;NIAS;2
25;1202;MANDAILING NATAL;2
26;1203;TAPANULI SELATAN;2
27;1204;TAPANULI TENGAH;2
28;1205;TAPANULI UTARA;1
29;1206;TOBA SAMOSIR;1
30;1207;LABUHAN BATU;1
31;1208;ASAHAN;1
32;1209;SIMALUNGUN;1
33;1210;DAIRI;1
34;1211;KARO;1
35;1212;DELI SERDANG;1
36;1213;LANGKAT;1
37;1214;NIAS SELATAN;2
38;1215;HUMBANG HASUNDUTAN;1
39;1216;PAKPAK BHARAT;2
40;1217;SAMOSIR;1
41;1218;SERDANG BEDAGAI;1
42;1219;BATU BARA;1
43;1220;PADANG LAWAS UTARA;2
44;1221;PADANG LAWAS;2
45;1222;LABUHAN BATU SELATAN;1
46;1223;LABUHAN BATU UTARA;1
47;1224;NIAS UTARA;2
48;1225;NIAS BARAT;2
49;1271;KOTA SIBOLGA;4
50;1272;KOTA TANJUNG BALAI;4
51;1273;KOTA PEMATANG SIANTAR;4
52;1274;KOTA TEBING TINGGI;1
53;1275;KOTA MEDAN;4
54;1276;KOTA BINJAI;1
55;1277;KOTA PADANG SIDEMPUAN;1
56;1278;KOTA GUNUNG SITOLI;1
57;1301;KEPULAUAN MENTAWAI;2
58;1302;PESISIR SELATAN;2
59;1303;SOLOK;2
60;1304;SIJUNJUNG;2
61;1305;TANAH DATAR;1
62;1306;PADANG PARIAMAN;2
63;1307;AGAM;1
64;1308;LIMA PULUH KOTA;2
65;1309;PASAMAN;2
66;1310;SOLOK SELATAN;1
67;1311;DHARMASRAYA;1
68;1312;PASAMAN BARAT;2
69;1371;KOTA PADANG;4
70;1372;KOTA SOLOK;4
71;1373;KOTA SAWAHLUNTO;4
72;1374;KOTA PADANG PANJANG;4
73;1375;KOTA BUKITTINGGI;4
74;1376;KOTA PAYAKUMBUH;4
75;1377;KOTA PARIAMAN;1
76;1401;KUANTAN SINGINGI;2
77;1402;INDRAGIRI HULU;1
78;1403;INDRAGIRI HILIR;2
79;1404;PELALAWAN;1
80;1405;SIAK;1
81;1406;KAMPAR;1
82;1407;ROKAN HULU;1
83;1408;BENGKALIS;1
84;1409;ROKAN HILIR;1
85;1410;KEPULAUAN MERANTI;2
86;1471;KOTA PEKANBARU;1
87;1473;KOTA DUMAI;1
88;1501;KERINCI;4
89;1502;MERANGIN;2
90;1503;SAROLANGUN;2
91;1504;BATANGHARI;2
92;1505;MUARO JAMBI;1
93;1506;TANJUNG JABUNG TIMUR;2
94;1507;TANJUNG JABUNG BARAT;1
95;1508;TEBO;2
96;1509;BUNGO;2
97;1571;KOTA JAMBI;4
98;1572;KOTA SUNGAI PENUH;4
99;1601;OGAN KOMERING ULU;1
100;1602;OGAN KOMERING ILIR;2
101;1603;MUARA ENIM;2
102;1604;LAHAT;2
103;1605;MUSI RAWAS;2
104;1606;MUSI BANYUASIN;2
105;1607;BANYUASIN;2
106;1608;OGAN KOMERING ULU SELATAN;2
107;1609;OGAN KOMERING ULU TIMUR;2
108;1610;OGAN ILIR;2
109;1611;EMPAT LAWANG;2
110;1612;PENUKAL ABAB LEMATANG ILIR;2
111;1613;MUSI RAWAS UTARA;2
112;1671;KOTA PALEMBANG;4
113;1672;KOTA PRABUMULIH;1
114;1673;KOTA PAGAR ALAM;1
115;1674;KOTA LUBUK LINGGAU;1
116;1701;BENGKULU SELATAN;2
117;1702;REJANG LEBONG;1
118;1703;BENGKULU UTARA;1
119;1704;KAUR;2
120;1705;SELUMA;2
121;1706;MUKOMUKO;1
122;1707;LEBONG;2
123;1708;KEPAHIANG;1
124;1709;BENGKULU TENGAH;1
125;1771;KOTA BENGKULU;1
126;1801;LAMPUNG BARAT;2
127;1802;TANGGAMUS;2
128;1803;LAMPUNG SELATAN;1
129;1804;LAMPUNG TIMUR;1
130;1805;LAMPUNG TENGAH;1
131;1806;LAMPUNG UTARA;1
132;1807;WAY KANAN;2
133;1808;TULANG BAWANG;1
134;1809;PESAWARAN;2
135;1810;PRINGSEWU;1
136;1811;MESUJI;1
137;1812;TULANG BAWANG BARAT;1
138;1813;PESISIR BARAT;2
139;1871;KOTA BANDAR LAMPUNG;1
140;1872;KOTA METRO;1
141;1901;BANGKA;1
142;1902;BELITUNG;1
143;1903;BANGKA BARAT;1
144;1904;BANGKA TENGAH;1
145;1905;BANGKA SELATAN;2
146;1906;BELITUNG TIMUR;1
147;1971;KOTA PANGKALPINANG;1
148;2101;KARIMUN;1
149;2102;BINTAN;1
150;2103;NATUNA;1
151;2104;LINGGA;1
152;2105;KEPULAUAN ANAMBAS;1
153;2171;KOTA BATAM;4
154;2172;KOTA TANJUNG PINANG;4
155;3101;KEPULAUAN SERIBU;2
156;3171;JAKARTA SELATAN;1
157;3172;JAKARTA TIMUR;1
158;3173;JAKARTA PUSAT;4
159;3174;JAKARTA BARAT;4
160;3175;JAKARTA UTARA;4
161;3201;BOGOR;1
162;3202;SUKABUMI;2
163;3203;CIANJUR;2
164;3204;BANDUNG;1
165;3205;GARUT;2
166;3206;TASIKMALAYA;2
167;3207;CIAMIS;2
168;3208;KUNINGAN;1
169;3209;CIREBON;1
170;3210;MAJALENGKA;2
171;3211;SUMEDANG;1
172;3212;INDRAMAYU;1
173;3213;SUBANG;1
174;3214;PURWAKARTA;1
175;3215;KARAWANG;1
176;3216;BEKASI;1
177;3217;BANDUNG BARAT;1
178;3218;PANGANDARAN;2
179;3271;KOTA BOGOR;4
180;3272;KOTA SUKABUMI;1
181;3273;KOTA BANDUNG;4
182;3274;KOTA CIREBON;4
183;3275;KOTA BEKASI;1
184;3276;KOTA DEPOK;1
185;3277;KOTA CIMAHI;1
186;3278;KOTA TASIKMALAYA;1
187;3279;KOTA BANJAR;1
188;3301;CILACAP;2
189;3302;BANYUMAS;1
190;3303;PURBALINGGA;2
191;3304;BANJARNEGARA;2
192;3305;KEBUMEN;2
193;3306;PURWOREJO;1
194;3307;WONOSOBO;2
195;3308;MAGELANG;2
196;3309;BOYOLALI;1
197;3310;KLATEN;1
198;3311;SUKOHARJO;1
199;3312;WONOGIRI;1
200;3313;KARANGANYAR;1
201;3314;SRAGEN;1
202;3315;GROBOGAN;2
203;3316;BLORA;1
204;3317;REMBANG;2
205;3318;PATI;1
206;3319;KUDUS;1
207;3320;JEPARA;1
208;3321;DEMAK;1
209;3322;SEMARANG;1
210;3323;TEMANGGUNG;2
211;3324;KENDAL;1
212;3325;BATANG;2
213;3326;PEKALONGAN;2
214;3327;PEMALANG;2
215;3328;TEGAL;1
216;3329;BREBES;2
217;3371;KOTA MAGELANG;4
218;3372;KOTA SURAKARTA;4
219;3373;KOTA SALATIGA;4
220;3374;KOTA SEMARANG;4
221;3375;KOTA PEKALONGAN;4
222;3376;KOTA TEGAL;4
223;3401;KULON PROGO;1
224;3402;BANTUL;1
225;3403;GUNUNGKIDUL;1
226;3404;SLEMAN;1
227;3471;KOTA YOGYAKARTA;1
228;3501;PACITAN;1
229;3502;PONOROGO;1
230;3503;TRENGGALEK;2
231;3504;TULUNGAGUNG;1
232;3505;BLITAR;2
233;3506;KEDIRI;1
234;3507;MALANG;1
235;3508;LUMAJANG;2
236;3509;JEMBER;2
237;3510;BANYUWANGI;2
238;3511;BONDOWOSO;2
239;3512;SITUBONDO;2
240;3513;PROBOLINGGO;2
241;3514;PASURUAN;2
242;3515;SIDOARJO;1
243;3516;MOJOKERTO;1
244;3517;JOMBANG;1
245;3518;NGANJUK;2
246;3519;MADIUN;1
247;3520;MAGETAN;1
248;3521;NGAWI;1
249;3522;BOJONEGORO;2
250;3523;TUBAN;2
251;3524;LAMONGAN;1
252;3525;GRESIK;1
253;3526;BANGKALAN;2
254;3527;SAMPANG;2
255;3528;PAMEKASAN;2
256;3529;SUMENEP;2
257;3571;KOTA KEDIRI;1
258;3572;KOTA BLITAR;1
259;3573;KOTA MALANG;4
260;3574;KOTA PROBOLINGGO;1
261;3575;KOTA PASURUAN;4
262;3576;KOTA MOJOKERTO;1
263;3577;KOTA MADIUN;4
264;3578;KOTA SURABAYA;4
265;3579;KOTA BATU;1
266;3601;PANDEGLANG;2
267;3602;LEBAK;2
268;3603;TANGERANG;1
269;3604;SERANG;2
270;3671;KOTA TANGERANG;1
271;3672;KOTA CILEGON;1
272;3673;KOTA SERANG;1
273;3674;KOTA TANGERANG SELATAN;1
274;5101;JEMBRANA;1
275;5102;TABANAN;4
276;5103;BADUNG;4
277;5104;GIANYAR;4
278;5105;KLUNGKUNG;4
279;5106;BANGLI;1
280;5107;KARANGASEM;2
281;5108;BULELENG;4
282;5171;KOTA DENPASAR;4
283;5201;LOMBOK BARAT;2
284;5202;LOMBOK TENGAH;2
285;5203;LOMBOK TIMUR;2
286;5204;SUMBAWA;2
287;5205;DOMPU;2
288;5206;BIMA;2
289;5207;SUMBAWA BARAT;1
290;5208;LOMBOK UTARA;2
291;5271;KOTA MATARAM;4
292;5272;KOTA BIMA;1
293;5301;SUMBA BARAT;3
294;5302;SUMBA TIMUR;2
295;5303;KUPANG;2
296;5304;TIMOR TENGAH SELATAN;2
297;5305;TIMOR TENGAH UTARA;2
298;5306;BELU;2
299;5307;ALOR;2
300;5308;LEMBATA;2
301;5309;FLORES TIMUR;2
302;5310;SIKKA;2
303;5311;ENDE;2
304;5312;NGADA;1
305;5313;MANGGARAI;2
306;5314;ROTE NDAO;2
307;5315;MANGGARAI BARAT;2
308;5316;SUMBA TENGAH;2
309;5317;SUMBA BARAT DAYA;3
310;5318;NAGEKEO;2
311;5319;MANGGARAI TIMUR;2
312;5320;SABU RAIJUA;2
313;5321;MALAKA;2
314;5371;KOTA KUPANG;4
315;6101;SAMBAS;1
316;6102;BENGKAYANG;2
317;6103;LANDAK;2
318;6104;MEMPAWAH;2
319;6105;SANGGAU;2
320;6106;KETAPANG;2
321;6107;SINTANG;2
322;6108;KAPUAS HULU;2
323;6109;SEKADAU;2
324;6110;MELAWI;2
325;6111;KAYONG UTARA;2
326;6112;KUBU RAYA;1
327;6171;KOTA PONTIANAK;4
328;6172;KOTA SINGKAWANG;1
329;6201;KOTAWARINGIN BARAT;1
330;6202;KOTAWARINGIN TIMUR;1
331;6203;KAPUAS;1
332;6204;BARITO SELATAN;1
333;6205;BARITO UTARA;1
334;6206;SUKAMARA;1
335;6207;LAMANDAU;1
336;6208;SERUYAN;1
337;6209;KATINGAN;2
338;6210;PULANG PISAU;1
339;6211;GUNUNG MAS;1
340;6212;BARITO TIMUR;1
341;6213;MURUNG RAYA;2
342;6271;KOTA PALANGKARAYA;1
343;6301;TANAH LAUT;1
344;6302;KOTABARU;1
345;6303;BANJAR;1
346;6304;BARITO KUALA;1
347;6305;TAPIN;1
348;6306;HULU SUNGAI SELATAN;2
349;6307;HULU SUNGAI TENGAH;1
350;6308;HULU SUNGAI UTARA;4
351;6309;TABALONG;1
352;6310;TANAH BUMBU;1
353;6311;BALANGAN;4
354;6371;KOTA BANJARMASIN;4
355;6372;KOTA BANJARBARU;1
356;6401;PASER;1
357;6402;KUTAI BARAT;1
358;6403;KUTAI KARTANEGARA;4
359;6404;KUTAI TIMUR;4
360;6405;BERAU;4
361;6409;PENAJAM PASER UTARA;1
362;6411;MAHAKAM HULU;2
363;6471;KOTA BALIKPAPAN;4
364;6472;KOTA SAMARINDA;4
365;6474;KOTA BONTANG;4
366;6501;MALINAU;4
367;6502;BULUNGAN;4
368;6503;TANA TIDUNG;1
369;6504;NUNUKAN;1
370;6571;KOTA TARAKAN;4
371;7101;BOLAANG MONGONDOW;2
372;7102;MINAHASA;1
373;7103;KEPULAUAN SANGIHE;2
374;7104;KEPULAUAN TALAUD;1
375;7105;MINAHASA SELATAN;1
376;7106;MINAHASA UTARA;1
377;7107;BOLAANG MONGONDOW UTARA;2
378;7108;SIAU TAGULANDANG BIARO;1
379;7109;MINAHASA TENGGARA;1
